text,label
"You are so stupid",bullying
"You're actually terrible at this",bullying
"Nobody likes you",bullying
"You're a complete loser",bullying
"You should just give up",bullying
"You're pathetic and everyone knows it",bullying
"You can't do anything right",bullying
"You're such an embarrassment",bullying
"Why do you even try?",bullying
"You're worthless",bullying
"Everyone thinks you're a joke",bullying
"You're so annoying, just go away",bullying
"You don't deserve to be here",bullying
"Stop embarrassing yourself",bullying
"You're the worst person I know",bullying
"You're a complete failure",bullying
"No one wants you around",bullying
"You're a waste of space",bullying
"How do you live with being so dumb?",bullying
"You're honestly just terrible at everything",bullying
"You're so slow it's frustrating",bullying
"I can't believe how useless you are",bullying
"You ruin everything you touch",bullying
"Your ideas are always garbage",bullying
"Do us all a favor and stop talking",bullying
"You're a disappointment to everyone",bullying
"You'll never amount to anything",bullying
"You're too stupid to understand",bullying
"Just admit you're a failure",bullying
"No wonder nobody wants to be around you",bullying
"You're so incompetent it's embarrassing",bullying
"You make everyone miserable",bullying
"You're such a burden on everyone",bullying
"You're the reason everything goes wrong",bullying
"Why are you even here?",bullying
"You're a complete idiot",bullying
"Everyone talks about how bad you are",bullying
"Get out of here nobody wants you",bullying
"You're just terrible always have been",bullying
"You're so dumb it hurts",bullying
"You could never do anything right",bullying
"You're so needy and annoying",bullying
"Do everyone a favor and shut up",bullying
"You're an absolute disgrace",bullying
"You're so stupid it's not even funny",bullying
"You're such a crybaby",bullying
"No one cares about what you think",bullying
"You're a total zero",bullying
"You're so fragile and weak",bullying
"Everyone can see how dumb you are",bullying
"You're the worst in class",bullying
"You'll always be a loser",bullying
"You should be ashamed of yourself",bullying
"You're just an attention seeker",bullying
"You're so irritating all the time",bullying
"You make everyone around you worse",bullying
"You can't do anything without messing it up",bullying
"Nobody cares about your feelings",bullying
"You're so bad at this it's embarrassing to watch",bullying
"You're such a weakling",bullying
"Just admit you're terrible and save us time",bullying
"You're nothing but trouble",bullying
"You're always the problem",bullying
"Stop pretending you're smart",bullying
"You're so laughable it's sad",bullying
"You're just a waste of everyone's time",bullying
"You always drag everyone down",bullying
"You're hopeless",bullying
"Everyone sees through you",bullying
"You're just pathetically desperate for attention",bullying
"You're so beneath everyone else here",bullying
"You're such a disgrace to this team",bullying
"You have no business being here",bullying
"You're an embarrassment to everyone who knows you",bullying
"You think you matter but you don't",bullying
"Nobody would notice if you left",bullying
"You're honestly the worst",bullying
"You're so far behind everyone else it's sad",bullying
"You bring everyone down just by being here",bullying
"You're genuinely useless",bullying
"You make things worse just by trying",bullying
"Wow great job genius",sarcasm
"Oh yeah that was just PERFECT",sarcasm
"Oh wow brilliant idea as always",sarcasm
"Sure because that's definitely going to work",sarcasm
